,type,entry_time,exit_time,entry_price_bnf,exit_price_bnf,entry_price_nft,exit_price_nft,pnl
0,short_bnf-short_nifty,2017-07-24 09:15:00,2017-08-03 09:15:00,9964.95,10033.45,24403.25,24798.2,13298.750000000018
1,long_bnf-long_nifty,2017-08-03 11:15:00,2017-08-08 09:15:00,10049.0,10002.0,24814.3,24661.15,-6178.749999999945
2,long_bnf-long_nifty,2017-08-08 11:15:00,2017-08-10 15:15:00,10005.4,9850.0,24677.8,24280.15,-17711.249999999927
3,long_bnf-long_nifty,2017-08-11 09:15:00,2017-08-11 13:15:00,9750.55,9717.2,24037.7,24002.8,-2539.9999999999636
4,short_bnf-short_nifty,2017-08-11 15:15:00,2017-08-14 13:15:00,9712.95,9796.85,23974.45,24121.6,7873.749999999927
5,long_bnf-long_nifty,2017-08-14 15:15:00,2017-08-16 15:15:00,9790.85,9900.65,24086.7,24444.35,14431.249999999909
6,short_bnf-short_nifty,2017-08-17 09:15:00,2017-08-17 11:15:00,9893.75,9938.6,24286.65,24354.25,3932.499999999982
7,long_bnf-long_nifty,2017-08-17 13:15:00,2017-08-21 13:15:00,9890.2,9754.4,24163.1,23931.8,-12572.500000000036
8,long_bnf-long_nifty,2017-08-21 15:15:00,2017-08-22 15:15:00,9751.45,9775.1,23915.5,24005.75,3438.749999999982
9,short_bnf-short_nifty,2017-08-23 09:15:00,2017-08-28 13:15:00,9805.8,9915.4,24156.45,24381.1,11096.249999999964
10,long_bnf-long_nifty,2017-08-29 09:15:00,2017-08-29 13:15:00,9825.15,9795.55,24161.45,24132.4,-2206.25
11,short_bnf-short_nifty,2017-08-29 15:15:00,2017-08-30 13:15:00,9793.0,9882.15,24119.0,24304.65,9098.750000000018
12,long_bnf-long_nifty,2017-08-30 15:15:00,2017-09-07 09:15:00,9886.35,9934.7,24319.3,24344.25,3041.2500000000364
13,short_bnf-short_nifty,2017-09-07 11:15:00,2017-09-08 09:15:00,9925.65,9945.65,24334.45,24353.8,1483.7499999999636
14,short_bnf-short_nifty,2017-09-08 11:15:00,2017-09-15 15:15:00,9918.0,10085.4,24288.95,24847.45,22332.49999999998
15,long_bnf-long_nifty,2017-09-18 09:15:00,2017-09-18 11:15:00,10160.75,10159.25,25060.5,25052.9,-264.9999999999636
16,short_bnf-short_nifty,2017-09-18 13:15:00,2017-09-20 09:15:00,10152.0,10141.05,25045.05,24984.9,-2051.249999999982
17,long_bnf-long_nifty,2017-09-20 11:15:00,2017-09-26 15:15:00,10142.65,9855.25,24974.85,24179.25,-34259.99999999994
18,short_bnf-short_nifty,2017-09-27 09:15:00,2017-09-27 11:15:00,9828.05,9797.4,24020.15,23937.6,-3596.2500000000546
19,long_bnf-long_nifty,2017-09-27 13:15:00,2017-09-28 15:15:00,9726.6,9760.2,23790.6,24000.95,6938.750000000073
20,short_bnf-short_nifty,2017-09-29 09:15:00,2017-10-03 11:15:00,9816.2,9858.05,24162.45,24083.5,118.74999999990905
21,long_bnf-long_nifty,2017-10-03 13:15:00,2017-10-10 15:15:00,9861.6,10013.8,24105.9,24328.65,13178.749999999945
22,long_bnf-long_nifty,2017-10-11 15:15:00,2017-10-13 11:15:00,9970.1,10169.9,24062.7,24730.2,26677.499999999964
23,short_bnf-short_nifty,2017-10-13 13:15:00,2017-10-16 11:15:00,10168.75,10190.0,24692.25,24638.5,-281.25
24,long_bnf-long_nifty,2017-10-16 13:15:00,2017-10-25 11:15:00,10226.95,10292.9,24690.2,24952.65,9858.749999999964
25,short_bnf-short_nifty,2017-10-25 13:15:00,2017-11-07 15:15:00,10300.95,10351.4,25068.0,25291.75,8116.249999999945
26,long_bnf-long_nifty,2017-11-08 09:15:00,2017-11-08 13:15:00,10342.2,10307.1,25292.55,25210.3,-3811.250000000018
27,long_bnf-long_nifty,2017-11-09 09:15:00,2017-11-09 11:15:00,10310.3,10298.25,25231.65,25276.55,519.9999999999818
28,short_bnf-short_nifty,2017-11-09 13:15:00,2017-11-21 13:15:00,10304.05,10326.95,25283.1,25759.1,13045.000000000073
29,long_bnf-long_nifty,2017-11-21 15:15:00,2017-11-27 15:15:00,10321.25,10404.65,25743.35,25926.35,8744.999999999982
30,short_bnf-short_nifty,2017-11-28 09:15:00,2017-11-30 11:15:00,10389.7,10271.3,25892.1,25518.05,-15271.250000000055
31,long_bnf-long_nifty,2017-11-30 13:15:00,2017-12-01 15:15:00,10222.3,10119.8,25321.15,25196.2,-8248.750000000018
32,short_bnf-short_nifty,2017-12-04 09:15:00,2017-12-04 11:15:00,10142.3,10156.25,25163.85,25178.0,1051.2500000000728
33,long_bnf-long_nifty,2017-12-04 13:15:00,2017-12-06 09:15:00,10124.9,10089.2,25055.35,25038.85,-2197.4999999999454
34,long_bnf-long_nifty,2017-12-06 11:15:00,2017-12-06 13:15:00,10063.55,10042.1,24991.7,24840.9,-4842.499999999927
35,long_bnf-long_nifty,2017-12-06 15:15:00,2017-12-15 11:15:00,10039.65,10347.4,24853.0,25451.2,30342.50000000002
36,short_bnf-short_nifty,2017-12-15 13:15:00,2017-12-19 15:15:00,10336.35,10469.5,25447.1,25734.35,13838.749999999982
37,long_bnf-long_nifty,2017-12-20 09:15:00,2018-01-04 11:15:00,10477.25,10474.35,25724.8,25428.6,-7550.0
38,short_bnf-short_nifty,2018-01-04 13:15:00,2018-01-04 15:15:00,10503.45,10505.35,25466.65,25478.4,388.7499999999818
39,long_bnf-long_nifty,2018-01-05 09:15:00,2018-01-05 13:15:00,10546.75,10555.45,25563.9,25594.85,1208.7499999999636
40,long_bnf-long_nifty,2018-01-05 15:15:00,2018-01-08 09:15:00,10561.35,10616.5,25619.9,25722.3,5317.499999999927
41,long_bnf-long_nifty,2018-01-08 11:15:00,2018-01-15 11:15:00,10612.65,10745.2,25702.5,26020.0,14565.000000000055
42,short_bnf-short_nifty,2018-01-15 13:15:00,2018-01-29 15:15:00,10740.2,11124.7,26061.75,27475.2,54561.250000000015
43,short_bnf-short_nifty,2018-01-30 11:15:00,2018-01-30 15:15:00,11056.35,11049.45,27326.65,27268.5,-1798.7500000000182
44,long_bnf-long_nifty,2018-01-31 09:15:00,2018-01-31 15:15:00,11017.25,11030.7,27186.55,27392.65,5825.000000000091
45,short_bnf-short_nifty,2018-02-01 09:15:00,2018-02-01 15:15:00,11091.95,11020.6,27554.25,27188.85,-12702.500000000055
46,long_bnf-long_nifty,2018-02-02 09:15:00,2018-02-07 09:15:00,10859.85,10513.75,26706.2,25753.25,-41128.75000000004
47,long_bnf-long_nifty,2018-02-07 11:15:00,2018-02-08 15:15:00,10515.0,10579.3,25780.3,25929.05,6933.749999999964
48,long_bnf-long_nifty,2018-02-09 11:15:00,2018-02-22 15:15:00,10447.35,10377.8,25489.9,24948.4,-17015.000000000055
49,short_bnf-short_nifty,2018-02-23 11:15:00,2018-02-27 15:15:00,10476.2,10551.05,25233.7,25383.85,7496.249999999873
